sitenewname;Longitude;Latitude
6039_001_TSUCAN_1_3;-69,77100000000000;43,8700000000000
6042_002_PINALB_4_22;-113,66457020000000;48,8209019000000
6042_005_PINALB_4_22;-111,17333600000001;46,4041466000000
6042_008_PINALB_4_22;-111,99680119999999;45,4916741000000
6042_009_PINALB_4_22;-114,99259030000000;45,7036359000000
6042_010_PINALB_4_22;-113,36227030000001;48,1936761000000
6042_011_PINALB_4_22;-111,72606530000000;46,3689339000000
6042_013_PINALB_4_22;-113,16164600000000;46,2956390000000
6042_014_PINALB_4_22;-111,73737880000000;44,8853825000000
6042_015_PINALB_4_22;-111,83568840000000;45,0506850000000
6042_016_PINALB_4_22;-114,62943710000000;45,6446619000000
6042_017_PINALB_4_22;-109,93862840000000;45,0515466000000
6042_018_PINALB_4_22;-110,71732419999999;46,8383799000000
6042_019_PINALB_4_22;-113,98764509999999;45,7177829000000
6042_020_PINALB_4_22;-114,79071410000000;48,7639409000000
6042_021_PINALB_4_22;-113,81312640000000;47,0040977000000
6042_023_PINALB_4_22;-113,82831120000000;46,0458872000000
6042_024_PINALB_4_22;-110,58567950000000;45,0532128000000
6042_025_PINALB_4_22;-113,41401800000000;48,4491198000000
6042_027_PINALB_4_22;-114,58718840000000;48,7735792000000
6042_028_PINALB_4_22;-114,58948470000000;48,7724698000000
6042_029_PINALB_4_22;-114,83208490000000;45,6327073000000
6042_034_PINALB_4_22;-112,90241910000000;45,7225247000000
6184_001_CASSAT_1_7;11,92170000000000;43,6763500000000
6184_003_FAGSYL_1_7;11,91390200000000;43,6500598500000
6184_004_FAGSYL_1_7;11,91541755000000;43,6498669700000
6184_006_QUECER_1_7;10,90469386000000;43,1462577700000
6184_007_QUECER_1_7;10,90482003000000;43,1450902000000
6184_008_QUECER_1_7;10,90444010000000;43,1449996700000
6184_009_QUECER_1_7;10,90444000000000;43,1450000000000
6184_010_QUECER_1_7;11,91396000000000;43,6717700000000
6184_012_QUECER_1_7;10,70076669000000;43,2077165700000
6184_013_QUECER_1_7;12,03165697000000;43,7342780100000
6184_015_QUECER_1_7;10,70133508000000;43,2078409600000
6184_016_QUECER_1_7;12,03525144000000;43,7393121500000
6189_001_QUEMNG_1_3;141,55750000000000;39,8088888900000
6198_002_FAGSYL_3_7;6,65805555600000;46,5838888900000
6210_001_FAGSYL_1_7;9,57805500000000;51,7614270000000
6210_002_FAGSYL_1_7;10,04661900000000;51,5283950000000
6210_003_FAGSYL_1_7;10,26633300000000;52,8394910000000
6210_004_FAGSYL_1_7;9,39550900000000;50,1527070000000
6210_005_FAGSYL_1_7;9,26764700000000;51,3710770000000
6210_007_FAGSYL_1_7;10,24079900000000;54,0983330000000
